,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
170,0.42,2,0.58,0,1,1,2,1,0.6,2,2,3,1,2,1.9995,1,1,0,2,,1.9995,13,0,111,11
171,0.42,2,0.42,1,1,2,3,1,0.3,1,2,2,1,3,1.2329999999999999,1,1,1,1,,1.2329999999999999,12,0,211,21
172,0.3,2,0.42,0,1,1,2,1,0.6,2,2,3,2,2,1.0997,1,1,0,2,,1.0997,13,0,112,12
173,0.7,2,0.58,1,1,1,3,2,0.4,1,1,2,1,3,1.0665,1,1,1,1,,1.0665,12,0,121,11
174,0.3,2,0.42,1,1,1,2,1,0.6,2,2,3,2,3,1.7329,1,1,1,2,,1.7329,13,0,112,12
175,0.58,2,0.3,1,1,2,2,2,0.7,2,1,3,1,3,0.9496,1,1,1,2,,0.9496,13,0,221,21
176,0.3,2,0.3,0,1,1,2,2,0.6,2,2,3,2,2,1.2664,1,1,0,2,,1.2664,13,0,122,12
177,0.42,2,0.7,0,1,1,2,2,0.6,2,2,3,1,2,1.0997,1,1,0,2,,1.0997,13,0,121,11
178,0.3,2,0.58,0,1,1,2,1,0.6,2,2,3,2,2,1.1498,1,1,0,2,,1.1498,13,0,112,12
179,0.3,2,0.58,1,1,1,2,1,0.6,2,2,3,2,3,2.0161,1,1,1,2,,2.0161,13,0,112,12
180,0.58,2,0.3,1,1,2,2,2,0.7,2,1,3,1,3,1.0498,1,1,1,2,,1.0498,13,0,221,21
181,0.58,2,0.42,0,1,1,3,1,0.4,1,1,2,1,2,1.2164,1,1,0,1,,1.2164,12,0,111,11
182,0.7,2,0.58,1,1,2,3,2,0.3,1,1,2,1,3,1.0333,1,1,1,1,,1.0333,12,0,221,21
183,0.7,2,0.42,1,1,2,2,1,0.7,2,1,3,2,3,0.99975,1,1,1,2,,0.99975,13,0,212,22
184,0.3,2,0.3,1,1,1,3,2,0.4,1,2,2,2,3,1.6664,1,1,1,1,,1.6664,12,0,122,12
185,0.58,2,0.42,1,1,2,2,1,0.7,2,1,3,1,3,0.89976,1,1,1,2,,0.89976,13,0,211,21
186,0.3,2,0.42,1,1,2,2,1,0.7,2,2,3,2,3,1.0497,1,1,1,2,,1.0497,13,0,212,22
187,0.42,2,0.42,0,1,1,3,1,0.4,1,2,2,1,0,0.8665200000000001,1,0,0,1,,0.8665200000000001,12,0,111,11
188,0.42,2,0.42,0,1,1,3,1,0.4,1,2,2,1,2,2.9991,1,1,0,1,,2.9991,12,0,111,11
189,0.58,2,0.42,0,1,2,3,1,0.3,1,1,2,1,2,1.7829,1,1,0,1,,1.7829,12,0,211,21
190,0.7,2,0.42,1,1,1,2,1,0.6,2,1,3,2,3,0.94973,1,1,1,2,,0.94973,13,0,112,12
191,0.3,2,0.58,1,1,2,2,1,0.7,2,2,3,2,3,1.2331,1,1,1,2,,1.2331,13,0,212,22
192,0.7,2,0.42,1,1,1,3,2,0.4,1,1,2,1,3,1.2329999999999999,1,1,1,1,,1.2329999999999999,12,0,121,11
193,0.7,2,0.3,0,1,1,3,2,0.4,1,1,2,2,2,1.2498,1,1,0,1,,1.2498,12,0,122,12
194,0.7,2,0.3,1,1,1,3,2,0.4,1,1,2,2,3,4.3488,1,1,1,1,,4.3488,12,0,122,12
195,0.3,2,0.7,1,1,1,3,2,0.4,1,2,2,2,3,1.7161,1,1,1,1,,1.7161,12,0,122,12
196,0.58,2,0.42,1,1,1,2,1,0.6,2,1,3,1,3,1.7497,1,1,1,2,,1.7497,13,0,111,11
197,0.42,2,0.7,1,1,2,3,1,0.3,1,2,2,2,3,1.3997,1,1,1,1,,1.3997,12,0,212,22
198,0.58,2,0.7,1,1,2,2,2,0.7,2,1,3,1,3,1.0829,1,1,1,2,,1.0829,13,0,221,21
199,0.42,2,0.58,0,1,2,2,1,0.7,2,2,3,1,2,1.0329,1,1,0,2,,1.0329,13,0,211,21
200,0.58,2,0.42,0,1,2,3,1,0.3,1,1,2,1,2,1.8996,1,1,0,1,,1.8996,12,0,211,21
201,0.7,2,0.42,1,1,2,3,2,0.3,1,1,2,1,3,1.5163,1,1,1,1,,1.5163,12,0,221,21
202,0.7,2,0.7,1,1,1,2,2,0.6,2,1,3,2,3,1.3662,1,1,1,2,,1.3662,13,0,122,12
203,0.7,2,0.3,0,1,2,2,2,0.7,2,1,3,2,1,0.79996,1,0,1,2,,0.79996,13,0,222,22
204,0.58,2,0.58,1,1,1,3,1,0.4,1,1,2,1,3,3.799,1,1,1,1,,3.799,12,0,111,11
205,0.58,2,0.58,1,1,1,3,1,0.4,1,1,2,1,3,3.2825,1,1,1,1,,3.2825,12,0,111,11
206,0.7,2,0.7,1,1,2,2,2,0.7,2,1,3,2,3,1.4331,1,1,1,2,,1.4331,13,0,222,22
